Id,"Crop Name"
60,Aadi
29,Allua
147,Amaranthus
127,Apple
81,"Armenian cucumber"
85,Arooa
89,Arum
90,Arum-lobe
96,Ash-gourd
55,"Bada Nembo"
108,Bajara
18,Banana
70,Beans
65,Beas
37,Beetroot
36,Bel
136,Ber
94,Bindweed
16,"Bitter Gourd"
52,"Black Eye Beans"
133,"Black Gram"
1,Boda
72,Bokala
6,"Bottle Gourd"
143,Brinjal
58,"Brinjal - Bengal Bhata"
41,"Brinjal - Haya Ghat"
140,"Brinjal - Lipstick 704"
2,"Brinjal - Plaster"
148,"Broad Beans"
67,Broccoli
3,Cabbage
71,"Cabbage green"
134,Capsicum
38,Carrot
4,Cauliflower
63,"Chenopodium Album"
106,Chichra
92,"Chick Peas"
138,Chighal
5,Chilli
149,Citron
114,"Cluster Beans"
150,Colocasia
28,Commission
77,"Coriander leaf"
32,"Coriander seed"
151,Cowpea
82,Cucumbber
43,Cucumber
98,Curcarbitaceous
152,"Currie Leaves"
139,"custard apple"
123,dill
144,"Dock Sorrel"
132,"Dolichos Beans"
35,Drumstick
88,Eggplant
120,Fabaceae
118,Fenugreek
10,"French Beans"
13,Fur
74,Gada
56,"Gagar Nembo"
117,Garlic
153,Gherkin
137,Ghosavli
116,Ginger
111,Gram
154,"Green Chilli"
78,"Green Maize"
129,"Green Mung Bean"
8,"Green Onion"
124,"Green Sorrel"
115,Groundnut
45,Guava
131,"Horse Gram"
24,"Indian Gooseberry"
42,"Ivy Gourd"
44,"Jack Fruit"
102,Jamun
50,Jhiguni
112,Jowar
51,Kabchua
69,"Kala Bhatta"
66,Keshore
53,Khaksi
87,Kohlrabi
86,Kopal
26,Kusum
22,"Lady Finger"
40,Lemon
121,Luffa
49,Maize
33,"Maize 1"
79,Mako
155,"Malabar Spinach"
39,Mango
135,Marigold
103,Millet
156,"Mint Leaves"
113,Moong
128,"Moth Bean"
91,"Mung bean"
68,Mushroom
141,"musk melon"
54,Nembo
7,Onion
19,Papaya
30,Peas
64,"Plain Bhatta"
99,Plantain
17,"Pointed Gourd"
119,Pomegranate
23,Potato
15,Pumpkin
9,Raddish
157,"Raw Banana"
158,"Raw Jackfruit"
80,"Raw papaya"
125,"Red Amaranth"
95,"Ribbed Gourd"
110,Rice
107,"Ridge Gourd"
48,Saag
73,Saffron
126,Scallion
97,"Snake Gourd"
104,Sorghum
145,"Sorrel Leaves"
109,Soyabean
27,Spinach
105,"Spine Gourd"
20,"Sponge Gourd"
93,"String bean"
34,Sugarcane
31,"Sugarcane 1"
59,Suthni
159,"Sweet Potato"
146,Sweetcorn
160,Tapioca
46,Taro
21,Tomato
62,Turmeric
76,Vince
101,"Water Melon"
142,watermelon
75,"Wheat (Gehu)"
100,Woodapple
14,Yam
130,"Yellow Mung Bean"
